datetime,visitor,visitor_runs,home,home_team_runs
2020-07-31,SDP,8,COL,7
2020-08-01,SDP,1,COL,6
2020-08-02,SDP,6,COL,9
2020-08-07,ARI,0,SDP,3
2020-08-08,ARI,3,SDP,2
2020-08-09,ARI,5,SDP,9
2020-08-14,SDP,1,ARI,5
2020-08-15,SDP,6,ARI,7
2020-08-16,SDP,4,ARI,5
2020-08-17,SDP,14,TEX,4
2020-08-18,SDP,6,TEX,4
2020-08-19,TEX,3,SDP,6
2020-08-20,TEX,7,SDP,8
2020-08-21,HOU,3,SDP,4
2020-08-22,HOU,2,SDP,13
2020-08-23,HOU,3,SDP,5
2020-08-25,SEA,8,SDP,3
2020-08-27,SEA,7,SDP,10
2020-08-27,SEA,8,SDP,3
2020-08-28,SDP,10,COL,4
2020-08-29,SDP,3,COL,4
2020-08-30,SDP,13,COL,2
2020-08-31,SDP,6,COL,0
2020-09-02,SDP,11,LAA,4
2020-09-03,SDP,0,LAA,2
2020-09-04,SDP,7,OAK,0
2020-09-05,SDP,4,OAK,8
2020-09-06,SDP,5,OAK,3
2020-09-07,COL,0,SDP,1
2020-09-08,COL,5,SDP,14
2020-09-09,COL,3,SDP,5
2020-09-10,SFG,1,SDP,6
2020-09-13,SFG,0,SDP,6
2020-09-13,SFG,1,SDP,3
2020-09-18,SDP,6,SEA,1
2020-09-19,SDP,1,SEA,4
2020-09-20,SDP,7,SEA,4
2020-07-24,LAA,3,OAK,7
2020-07-25,LAA,4,OAK,1
2020-07-26,LAA,4,OAK,6
2020-07-27,LAA,0,OAK,3
2020-07-28,COL,8,OAK,3
2020-07-29,COL,5,OAK,1
2020-07-31,OAK,3,SEA,5
2020-08-01,OAK,3,SEA,2
2020-08-02,OAK,3,SEA,2
2020-08-03,OAK,11,SEA,1
2020-08-04,TEX,1,OAK,5
2020-08-05,TEX,4,OAK,6
2020-08-06,TEX,4,OAK,6
2020-08-07,HOU,2,OAK,3
2020-08-08,HOU,1,OAK,3
2020-08-09,HOU,2,OAK,7
2020-08-10,OAK,9,LAA,10
2020-08-11,OAK,0,LAA,6
2020-08-12,OAK,8,LAA,4
2020-08-14,OAK,8,SFG,7
2020-08-15,OAK,7,SFG,6
2020-08-16,OAK,15,SFG,3
2020-08-17,OAK,3,ARI,4
2020-08-18,OAK,1,ARI,10
2020-08-19,ARI,1,OAK,4
2020-08-20,ARI,1,OAK,5
2020-08-21,LAA,3,OAK,5
2020-08-22,LAA,4,OAK,3
2020-08-23,LAA,4,OAK,5
2020-08-24,OAK,2,TEX,3
2020-08-25,OAK,10,TEX,3
2020-08-26,OAK,3,TEX,1
2020-08-29,OAK,2,HOU,4
2020-08-29,OAK,3,HOU,6
2020-09-07,HOU,0,OAK,6
2020-09-08,HOU,2,OAK,4
2020-09-08,HOU,5,OAK,4
2020-09-09,HOU,2,OAK,3
2020-09-10,HOU,1,OAK,3
2020-09-11,OAK,10,TEX,6
2020-09-12,OAK,2,TEX,5
2020-09-12,OAK,10,TEX,1
2020-09-13,OAK,3,TEX,6
2020-09-14,OAK,5,SEA,6
2020-09-14,OAK,9,SEA,0
2020-09-15,OAK,1,COL,3
2020-09-16,OAK,3,COL,1
2020-09-18,SFG,0,OAK,6
2020-09-19,SFG,0,OAK,6
2020-09-20,SFG,14,OAK,2
2020-07-28,STL,3,MIN,6
2020-07-29,STL,0,MIN,3
2020-07-30,CLE,2,MIN,0
2020-07-31,CLE,1,MIN,4
2020-08-01,CLE,0,MIN,3
2020-08-02,CLE,1,MIN,3
2020-08-03,PIT,4,MIN,5
2020-08-04,PIT,3,MIN,7
2020-08-05,MIN,5,PIT,2
2020-08-06,MIN,5,PIT,6
2020-08-07,MIN,2,KCR,3
2020-08-08,MIN,6,KCR,9
2020-08-09,MIN,2,KCR,4
2020-08-10,MIN,4,MIL,2
2020-08-11,MIN,4,MIL,6
2020-08-12,MIN,12,MIL,2
2020-08-15,KCR,2,MIN,4
2020-08-15,KCR,4,MIN,2
2020-08-16,KCR,2,MIN,4
2020-08-17,KCR,1,MIN,4
2020-08-18,MIL,3,MIN,4
2020-08-19,MIL,9,MIN,3
2020-08-20,MIL,1,MIN,7
2020-08-21,MIN,2,KCR,7
2020-08-22,MIN,7,KCR,2
2020-08-23,MIN,5,KCR,4
2020-08-24,MIN,3,CLE,2
2020-08-25,MIN,2,CLE,4
2020-08-26,MIN,3,CLE,6
2020-08-29,MIN,2,DET,8
2020-08-29,MIN,2,DET,4
2020-08-30,MIN,2,DET,3
2020-09-04,DET,0,MIN,2
2020-09-04,DET,2,MIN,3
2020-09-05,DET,3,MIN,4
2020-09-06,DET,10,MIN,8
2020-09-07,DET,2,MIN,6
2020-09-08,MIN,7,STL,3
2020-09-08,MIN,4,STL,6
2020-09-11,CLE,1,MIN,3
2020-09-12,CLE,4,MIN,8
2020-09-13,CLE,5,MIN,7
2020-09-18,MIN,0,CHC,1
2020-09-19,MIN,8,CHC,1
2020-09-20,MIN,4,CHC,0
2020-07-24,ATL,0,NYM,1
2020-07-25,ATL,5,NYM,3
2020-07-26,ATL,14,NYM,1
2020-07-31,NYM,10,ATL,11
2020-08-01,NYM,1,ATL,7
2020-08-02,NYM,0,ATL,4
2020-08-03,NYM,7,ATL,2
2020-08-04,TOR,1,ATL,10
2020-08-05,TOR,2,ATL,1
2020-08-06,TOR,3,ATL,4
2020-08-08,ATL,0,PHI,5
2020-08-09,ATL,5,PHI,2
2020-08-09,ATL,8,PHI,0
2020-08-10,ATL,8,PHI,13
2020-08-11,ATL,6,NYY,9
2020-08-12,ATL,3,NYY,6
2020-08-14,ATL,2,MIA,8
2020-08-15,ATL,2,MIA,1
2020-08-16,ATL,4,MIA,0
2020-08-17,WSN,6,ATL,7
2020-08-18,WSN,8,ATL,5
2020-08-21,PHI,2,ATL,11
2020-08-22,PHI,5,ATL,6
2020-08-23,PHI,5,ATL,4
2020-08-26,NYY,1,ATL,5
2020-08-26,NYY,1,ATL,2
2020-08-28,ATL,4,PHI,7
2020-08-29,ATL,1,PHI,4
2020-08-30,ATL,12,PHI,10
2020-08-31,ATL,6,BOS,3
2020-09-01,ATL,10,BOS,3
2020-09-02,ATL,7,BOS,5
2020-09-04,WSN,1,ATL,7
2020-09-04,WSN,10,ATL,9
2020-09-05,WSN,10,ATL,4
2020-09-06,WSN,3,ATL,10
2020-09-07,MIA,5,ATL,4
2020-09-08,MIA,8,ATL,0
2020-09-09,MIA,9,ATL,29
2020-09-10,ATL,7,WSN,6
2020-09-11,ATL,7,WSN,8
2020-09-12,ATL,2,WSN,1
2020-09-13,ATL,8,WSN,4
2020-09-14,ATL,1,BAL,14
2020-09-15,ATL,5,BAL,1
2020-09-16,ATL,1,BAL,5
2020-09-18,ATL,15,NYM,2
2020-09-19,ATL,2,NYM,7
2020-09-20,ATL,7,NYM,0
2020-07-24,MIL,0,CHC,3
2020-07-25,MIL,8,CHC,3
2020-07-26,MIL,1,CHC,9
2020-07-27,CHC,8,CIN,7
2020-07-28,CHC,8,CIN,5
2020-07-29,CHC,7,CIN,12
2020-07-31,PIT,3,CHC,6
2020-08-01,PIT,3,CHC,4
2020-08-02,PIT,1,CHC,2
2020-08-03,KCR,0,CHC,2
2020-08-04,KCR,4,CHC,5
2020-08-05,CHC,6,KCR,1
2020-08-06,CHC,2,KCR,13
2020-08-11,CHC,7,CLE,1
2020-08-12,CHC,7,CLE,2
2020-08-13,MIL,2,CHC,4
2020-08-14,MIL,4,CHC,3
2020-08-15,MIL,6,CHC,5
2020-08-16,MIL,6,CHC,5
2020-08-17,STL,3,CHC,1
2020-08-17,STL,4,CHC,5
2020-08-18,STL,3,CHC,6
2020-08-19,STL,9,CHC,3
2020-08-19,STL,2,CHC,4
2020-08-24,CHC,9,DET,3
2020-08-25,CHC,1,DET,7
2020-08-26,CHC,6,DET,7
2020-08-28,CHC,5,CIN,6
2020-08-29,CHC,3,CIN,0
2020-08-29,CHC,5,CIN,6
2020-08-30,CHC,10,CIN,1
2020-09-01,CHC,8,PIT,7
2020-09-02,CHC,8,PIT,2
2020-09-03,CHC,2,PIT,6
2020-09-04,STL,1,CHC,4
2020-09-05,STL,4,CHC,2
2020-09-05,STL,5,CHC,1
2020-09-06,STL,7,CHC,3
2020-09-07,STL,1,CHC,5
2020-09-08,CIN,0,CHC,3
2020-09-09,CIN,3,CHC,0
2020-09-10,CIN,5,CHC,8
2020-09-11,CHC,0,MIL,1
2020-09-12,CHC,4,MIL,2
2020-09-13,CHC,12,MIL,0
2020-09-15,CLE,5,CHC,6
2020-09-16,CLE,2,CHC,3
2020-07-23,NYY,4,WSN,1
2020-07-25,NYY,2,WSN,9
2020-07-26,NYY,3,WSN,2
2020-07-29,NYY,9,BAL,3
2020-07-30,NYY,8,BAL,6
2020-07-31,BOS,1,NYY,5
2020-08-01,BOS,2,NYY,5
2020-08-02,BOS,7,NYY,9
2020-08-03,PHI,3,NYY,6
2020-08-05,NYY,7,PHI,11
2020-08-05,NYY,3,PHI,1
2020-08-06,NYY,4,PHI,5
2020-08-14,BOS,3,NYY,10
2020-08-15,BOS,5,NYY,11
2020-08-16,BOS,2,NYY,4
2020-08-17,BOS,3,NYY,6
2020-08-28,NYM,6,NYY,4
2020-08-28,NYM,4,NYY,3
2020-08-29,NYM,1,NYY,2
2020-08-30,NYM,7,NYY,8
2020-08-30,NYM,2,NYY,5
2020-09-03,NYY,7,NYM,9
2020-09-04,NYY,6,BAL,5
2020-09-04,NYY,3,BAL,6
2020-09-05,NYY,1,BAL,6
2020-09-06,NYY,1,BAL,5
2020-09-07,NYY,7,TOR,12
2020-09-08,NYY,1,TOR,2
2020-09-09,NYY,7,TOR,2
2020-09-11,BAL,0,NYY,6
2020-09-11,BAL,1,NYY,10
2020-09-12,BAL,1,NYY,2
2020-09-13,BAL,1,NYY,3
2020-09-15,TOR,6,NYY,20
2020-09-16,TOR,2,NYY,13
2020-09-17,TOR,7,NYY,10
2020-09-18,NYY,6,BOS,5
2020-09-19,NYY,8,BOS,0
2020-09-20,NYY,2,BOS,10
2020-07-24,KCR,0,CLE,2
2020-07-25,KCR,3,CLE,2
2020-07-26,KCR,2,CLE,9
2020-08-03,CLE,2,CIN,3
2020-08-04,CLE,4,CIN,2
2020-08-05,CIN,0,CLE,2
2020-08-06,CIN,0,CLE,13
2020-08-14,CLE,10,DET,5
2020-08-15,CLE,3,DET,1
2020-08-16,CLE,8,DET,5
2020-08-18,CLE,6,PIT,3
2020-08-19,CLE,6,PIT,1
2020-08-20,CLE,2,PIT,0
2020-08-21,DET,10,CLE,5
2020-08-22,DET,1,CLE,6
2020-08-23,DET,7,CLE,4
2020-08-28,CLE,14,STL,2
2020-08-29,CLE,2,STL,1
2020-08-30,CLE,2,STL,7
2020-08-31,CLE,1,KCR,2
2020-09-01,CLE,10,KCR,1
2020-09-02,CLE,5,KCR,0
2020-09-04,MIL,7,CLE,1
2020-09-05,MIL,3,CLE,4
2020-09-06,MIL,1,CLE,4
2020-09-07,KCR,2,CLE,5
2020-09-08,KCR,8,CLE,6
2020-09-09,KCR,3,CLE,0
2020-09-10,KCR,11,CLE,1
2020-09-17,CLE,10,DET,3
2020-09-18,CLE,1,DET,0
2020-09-19,CLE,2,DET,5
2020-09-20,CLE,7,DET,4
2020-07-24,MIA,5,PHI,2
2020-07-25,MIA,1,PHI,7
2020-07-26,MIA,11,PHI,6
2020-08-04,MIA,4,BAL,0
2020-08-05,MIA,1,BAL,0
2020-08-05,MIA,2,BAL,1
2020-08-06,MIA,8,BAL,7
2020-08-07,MIA,4,NYM,3
2020-08-08,MIA,4,NYM,8
2020-08-09,MIA,2,NYM,4
2020-08-11,MIA,4,TOR,5
2020-08-12,MIA,14,TOR,11
2020-08-17,NYM,11,MIA,4
2020-08-18,NYM,8,MIA,3
2020-08-19,NYM,5,MIA,3
2020-08-21,MIA,3,WSN,2
2020-08-22,MIA,4,WSN,5
2020-08-22,MIA,5,WSN,3
2020-08-23,MIA,3,WSN,9
2020-08-24,MIA,11,WSN,8
2020-08-25,MIA,4,NYM,0
2020-08-25,MIA,3,NYM,0
2020-08-26,MIA,4,NYM,5
2020-08-31,MIA,5,NYM,3
2020-09-01,TOR,2,MIA,3
2020-09-02,TOR,2,MIA,1
2020-09-10,PHI,6,MIA,7
2020-09-11,PHI,11,MIA,0
2020-09-11,PHI,3,MIA,5
2020-09-12,PHI,12,MIA,6
2020-09-13,PHI,1,MIA,2
2020-09-13,PHI,1,MIA,8
2020-09-14,PHI,2,MIA,6
2020-09-15,BOS,2,MIA,0
2020-09-16,BOS,4,MIA,8
2020-09-17,BOS,5,MIA,3
2020-09-18,WSN,5,MIA,0
2020-09-18,WSN,3,MIA,14
2020-09-19,WSN,3,MIA,7
2020-09-20,WSN,1,MIA,2
2020-09-20,WSN,15,MIA,0
2020-07-24,PIT,4,STL,5
2020-07-25,PIT,1,STL,9
2020-07-26,PIT,5,STL,1
2020-08-20,CIN,4,STL,5
2020-08-21,CIN,4,STL,2
2020-08-22,CIN,0,STL,3
2020-08-23,CIN,2,STL,6
2020-08-24,KCR,3,STL,9
2020-08-25,KCR,5,STL,4
2020-08-26,KCR,5,STL,6
2020-08-27,PIT,4,STL,3
2020-08-27,PIT,2,STL,0
2020-08-31,STL,7,CIN,5
2020-09-01,STL,16,CIN,2
2020-09-02,STL,3,CIN,4
2020-09-10,DET,2,STL,12
2020-09-10,DET,6,STL,3
2020-09-11,CIN,3,STL,1
2020-09-12,CIN,1,STL,7
2020-09-13,CIN,10,STL,5
2020-09-14,STL,1,MIL,2
2020-09-14,STL,3,MIL,2
2020-09-15,STL,3,MIL,18
2020-09-16,STL,4,MIL,2
2020-09-16,STL,0,MIL,6
2020-09-17,STL,1,PIT,5
2020-09-18,STL,6,PIT,5
2020-09-18,STL,7,PIT,2
2020-09-19,STL,5,PIT,4
2020-09-20,STL,2,PIT,1
2020-07-24,SEA,2,HOU,8
2020-07-25,SEA,2,HOU,7
2020-07-26,SEA,7,HOU,6
2020-07-27,SEA,5,HOU,8
2020-07-31,HOU,9,LAA,6
2020-08-01,HOU,4,LAA,5
2020-08-02,HOU,6,LAA,5
2020-08-04,HOU,8,ARI,2
2020-08-05,HOU,7,ARI,14
2020-08-06,HOU,4,ARI,5
2020-08-10,SFG,4,HOU,6
2020-08-11,SFG,7,HOU,6
2020-08-12,SFG,1,HOU,5
2020-08-14,SEA,1,HOU,11
2020-08-15,SEA,1,HOU,2
2020-08-16,SEA,2,HOU,3
2020-08-17,COL,1,HOU,2
2020-08-18,COL,1,HOU,2
2020-08-19,HOU,13,COL,6
2020-08-20,HOU,10,COL,8
2020-08-24,LAA,4,HOU,11
2020-08-25,LAA,3,HOU,6
2020-08-25,LAA,12,HOU,5
2020-09-01,TEX,6,HOU,5
2020-09-02,TEX,1,HOU,2
2020-09-03,TEX,4,HOU,8
2020-09-04,HOU,5,LAA,6
2020-09-05,HOU,9,LAA,10
2020-09-05,HOU,6,LAA,7
2020-09-06,HOU,5,LAA,9
2020-09-15,TEX,1,HOU,4
2020-09-16,TEX,1,HOU,0
2020-09-17,TEX,1,HOU,2
2020-09-18,ARI,6,HOU,3
2020-09-19,ARI,2,HOU,3
2020-09-20,ARI,2,HOU,3
2020-08-11,BAL,10,PHI,9
2020-08-12,BAL,5,PHI,4
2020-08-13,BAL,11,PHI,4
2020-08-14,NYM,5,PHI,6
2020-08-15,NYM,2,PHI,6
2020-08-16,NYM,2,PHI,6
2020-08-18,PHI,13,BOS,6
2020-08-19,PHI,3,BOS,6
2020-08-20,PHI,2,TOR,3
2020-08-20,PHI,8,TOR,9
2020-08-25,PHI,8,WSN,3
2020-08-26,PHI,3,WSN,2
2020-08-31,WSN,6,PHI,8
2020-09-01,WSN,0,PHI,6
2020-09-02,WSN,0,PHI,3
2020-09-03,WSN,5,PHI,6
2020-09-04,PHI,5,NYM,3
2020-09-05,PHI,1,NYM,5
2020-09-06,PHI,1,NYM,14
2020-09-07,PHI,9,NYM,8
2020-09-08,BOS,5,PHI,6
2020-09-08,BOS,5,PHI,2
2020-09-15,NYM,1,PHI,4
2020-09-16,NYM,5,PHI,4
2020-09-17,NYM,10,PHI,6
2020-09-18,TOR,0,PHI,7
2020-09-18,TOR,7,PHI,8
2020-09-19,TOR,1,PHI,3
2020-09-20,TOR,6,PHI,3
2020-07-27,TOR,4,WSN,1
2020-07-28,TOR,5,WSN,1
2020-07-29,TOR,0,WSN,4
2020-07-30,TOR,4,WSN,6
2020-08-07,TOR,3,BOS,5
2020-08-08,TOR,2,BOS,1
2020-08-09,TOR,3,BOS,5
2020-08-17,TOR,7,BAL,2
2020-08-18,TOR,8,BAL,7
2020-08-19,TOR,5,BAL,2
2020-08-25,BOS,9,TOR,7
2020-08-26,BOS,1,TOR,9
2020-08-28,BAL,4,TOR,5
2020-08-29,BAL,0,TOR,5
2020-08-30,BAL,5,TOR,6
2020-08-31,BAL,4,TOR,3
2020-09-03,TOR,6,BOS,2
2020-09-04,TOR,8,BOS,7
2020-09-04,TOR,2,BOS,3
2020-09-05,TOR,8,BOS,9
2020-09-06,TOR,10,BOS,8
2020-09-11,NYM,18,TOR,1
2020-09-12,NYM,2,TOR,3
2020-09-13,NYM,3,TOR,7
2020-07-27,MIL,6,PIT,5
2020-07-28,MIL,6,PIT,8
2020-07-29,MIL,3,PIT,0
2020-08-07,CIN,8,MIL,3
2020-08-08,CIN,4,MIL,1
2020-08-09,CIN,3,MIL,9
2020-08-21,MIL,2,PIT,7
2020-08-22,MIL,5,PIT,12
2020-08-23,MIL,4,PIT,5
2020-08-24,CIN,2,MIL,4
2020-08-25,CIN,2,MIL,3
2020-08-27,CIN,6,MIL,1
2020-08-27,CIN,6,MIL,0
2020-08-28,PIT,1,MIL,9
2020-08-29,PIT,6,MIL,7
2020-08-30,PIT,5,MIL,1
2020-08-31,PIT,5,MIL,6
2020-09-01,DET,12,MIL,1
2020-09-02,DET,5,MIL,8
2020-09-08,MIL,3,DET,8
2020-09-09,MIL,19,DET,0
2020-09-18,KCR,5,MIL,9
2020-09-19,KCR,0,MIL,5
2020-09-20,KCR,3,MIL,5
2020-07-24,DET,1,CIN,7
2020-07-25,DET,6,CIN,4
2020-07-26,DET,3,CIN,2
2020-07-31,CIN,2,DET,7
2020-08-02,CIN,4,DET,3
2020-08-02,CIN,4,DET,0
2020-08-11,KCR,5,CIN,6
2020-08-12,KCR,5,CIN,4
2020-08-13,PIT,9,CIN,6
2020-08-14,PIT,1,CIN,8
2020-08-19,CIN,0,KCR,4
2020-08-19,CIN,5,KCR,0
2020-09-04,CIN,4,PIT,2
2020-09-04,CIN,3,PIT,4
2020-09-05,CIN,6,PIT,2
2020-09-06,CIN,2,PIT,3
2020-09-14,PIT,1,CIN,3
2020-09-14,PIT,4,CIN,9
2020-09-15,PIT,1,CIN,4
2020-09-16,PIT,0,CIN,1
2020-07-31,TEX,2,SFG,9
2020-08-01,TEX,3,SFG,7
2020-08-02,TEX,9,SFG,5
2020-08-03,SFG,6,COL,7
2020-08-04,SFG,2,COL,5
2020-08-05,SFG,4,COL,3
2020-08-06,SFG,4,COL,6
2020-08-17,SFG,6,LAA,7
2020-08-18,SFG,8,LAA,2
2020-08-19,LAA,2,SFG,7
2020-08-20,LAA,5,SFG,10
2020-08-21,ARI,2,SFG,6
2020-08-22,ARI,1,SFG,5
2020-08-23,ARI,1,SFG,6
2020-08-28,SFG,4,ARI,7
2020-08-29,SFG,5,ARI,2
2020-08-30,SFG,4,ARI,1
2020-09-01,SFG,23,COL,5
2020-09-02,SFG,6,COL,9
2020-09-04,ARI,6,SFG,5
2020-09-05,ARI,3,SFG,4
2020-09-06,ARI,2,SFG,4
2020-09-07,ARI,2,SFG,4
2020-09-08,SEA,5,SFG,6
2020-09-09,SEA,1,SFG,10
2020-09-16,SEA,3,SFG,9
2020-09-17,SEA,4,SFG,6
2020-07-27,NYM,7,BOS,4
2020-07-28,NYM,8,BOS,3
2020-07-29,BOS,6,NYM,5
2020-07-30,BOS,4,NYM,2
2020-08-04,NYM,3,WSN,5
2020-08-05,NYM,3,WSN,1
2020-08-10,WSN,16,NYM,4
2020-08-11,WSN,2,NYM,1
2020-08-12,WSN,6,NYM,11
2020-08-13,WSN,2,NYM,8
2020-09-01,NYM,5,BAL,9
2020-09-02,NYM,9,BAL,4
2020-09-08,BAL,11,NYM,2
2020-09-09,BAL,6,NYM,7
2020-07-24,COL,0,TEX,1
2020-07-25,COL,3,TEX,2
2020-07-26,COL,5,TEX,2
2020-08-07,COL,8,SEA,4
2020-08-08,COL,5,SEA,0
2020-08-09,COL,3,SEA,5
2020-08-10,ARI,12,COL,8
2020-08-11,ARI,7,COL,8
2020-08-12,ARI,13,COL,7
2020-08-14,TEX,3,COL,2
2020-08-15,TEX,6,COL,4
2020-08-16,TEX,6,COL,10
2020-08-24,COL,3,ARI,2
2020-08-25,COL,5,ARI,4
2020-08-26,COL,8,ARI,7
2020-09-11,LAA,4,COL,8
2020-09-12,LAA,5,COL,2
2020-09-13,LAA,5,COL,3
2020-07-28,SEA,2,LAA,10
2020-07-29,SEA,10,LAA,7
2020-07-30,SEA,8,LAA,5
2020-08-04,LAA,5,SEA,3
2020-08-05,LAA,6,SEA,7
2020-08-06,LAA,6,SEA,1
2020-08-10,SEA,10,TEX,2
2020-08-11,SEA,2,TEX,4
2020-08-12,SEA,4,TEX,7
2020-08-21,TEX,4,SEA,7
